date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2/22/2023,65.85,40.36666667,660.8333333,21.7,18.525,100.8333333,1.20125,0,0.5,136.75,82.625
2/23/2023,57.92083333,36.625,576,31.15833333,18.90416667,63.91666667,0.945833333,0,0.58125,112.3333333,72.375
2/24/2023,40.55416667,27.425,622,22.7625,12.60833333,54.625,0.788333333,0,0.533333333,90.08333333,64.75
2/25/2023,38.55,26.87916667,627.5,20.75833333,7.320833333,75.04166667,0.444166667,0.375,1.520833333,76.83333333,56.875
2/26/2023,53.83333333,37.575,727.125,30.67083333,17.45833333,74.20833333,0.500833333,0.458333333,1.71875,91.33333333,65.20833333
2/27/2023,78.65833333,54.02083333,931.5416667,48.9625,18.61666667,67.79166667,0.660833333,0.25,1.18125,135.2083333,79.5
2/28/2023,83.55416667,55.825,910.5833333,45.775,21.25833333,71,0.69,0,1.022916667,151.0833333,86.70833333
3/1/2023,57.25416667,38.375,739.2916667,45.3,20.04166667,40.125,0.749166667,0,0.7,111.9166667,72.16666667
3/2/2023,91.70416667,62.66666667,1095.625,52.875,24.57083333,58.625,1.150416667,0,0.983333333,136.625,80.625
3/3/2023,98.85416667,65.6625,913.2083333,45.97083333,26.3625,78.79166667,1.36875,0,0.704166667,158.2916667,96.91666667
3/4/2023,83.7,57.49166667,1146,47.23333333,17.19583333,72.79166667,1.496666667,0,0.747916667,129.9583333,78.875
